ID,price_usd,surface_total,expenses
508,448000.0,114,0.0
8814,174900.0,77,0.0
3482,500000.0,168,0.0
2816,163000.0,43,0.0
4464,119000.0,31,0.0
7072,1250000.0,260,0.0
7646,190000.0,78,0.0
6376,106000.0,42,0.0
3564,645000.0,272,0.0
5768,148000.0,50,2790.0
4477,745000.0,145,0.0
8362,270000.0,116,0.0
9221,232000.0,100,0.0
6334,105000.0,43,0.0
8599,218000.0,70,2500.0
4600,210000.0,52,0.0
4820,189000.0,60,0.0
9557,135000.0,67,0.0
1878,340000.0,136,7000.0
6947,750000.0,250,0.0
2643,235000.0,78,0.0
257,395000.0,165,0.0
4940,128000.0,56,0.0
10089,220000.0,170,0.0
4414,82000.0,22,0.0
8854,250000.0,126,0.0
5630,149000.0,79,0.0
6517,55000.0,23,0.0
8216,135000.0,41,0.0
1690,600000.0,190,9000.0
6387,108000.0,58,0.0
5462,249000.0,102,0.0
7831,95000.0,34,0.0
4010,219000.0,100,0.0
4027,620000.0,185,10368.0
2732,640000.0,96,0.0
1579,3000000.0,595,0.0
8739,162000.0,52,0.0
3765,230000.0,94,0.0
2984,238000.0,153,5402.0
134,139500.0,60,0.0
929,155000.0,56,0.0
10316,130000.0,50,0.0
2287,95000.0,45,0.0
1313,465000.0,82,0.0
1630,199000.0,99,2370.0
5023,398000.0,87,7.0
2307,148000.0,55,0.0
7765,145000.0,72,0.0
2017,550000.0,90,0.0
5798,215000.0,134,0.0
6204,114900.0,65,2600.0
287,110000.0,42,1800.0
2631,540000.0,203,0.0
5840,290000.0,169,0.0
1545,420000.0,110,12500.0
8003,235000.0,80,0.0
10178,450000.0,119,0.0
3814,504600.0,144,17000.0
8819,139000.0,67,0.0
6222,95000.0,54,0.0
8772,187000.0,108,1100.0
1737,145500.0,36,0.0
10196,245000.0,68,0.0
8405,108000.0,39,900.0
4712,463000.0,195,0.0
6476,175000.0,108,2840.0
497,870000.0,137,0.0
1891,1950000.0,312,0.0
10437,123000.0,50,0.0
5600,90000.0,31,0.0
4886,171600.0,66,0.0
8184,180000.0,68,0.0
4481,520000.0,170,0.0
3358,115000.0,40,0.0
2653,121000.0,36,1493.0
5806,350000.0,110,0.0
517,820000.0,344,0.0
4981,225000.0,150,0.0
9732,52000.0,55,0.0
9378,240000.0,120,0.0
2603,580000.0,79,0.0
8593,199000.0,64,0.0
1093,230000.0,61,3500.0
4532,195000.0,48,0.0
3943,120791.0,38,0.0
7920,180000.0,55,0.0
7950,258000.0,92,0.0
8221,220000.0,75,6459.0
3391,179000.0,72,0.0
1127,210000.0,67,0.0
7183,90000.0,41,900.0
892,120000.0,46,0.0
6611,250000.0,321,0.0
2548,220000.0,85,0.0
4549,350000.0,110,0.0
9718,67000.0,67,0.0
10351,514256.0,178,0.0
1001,245000.0,80,7332.0
9594,75000.0,36,1400.0
1592,165000.0,38,0.0
4479,320000.0,90,0.0
4495,399000.0,122,0.0
1976,680000.0,287,0.0
4949,175000.0,46,0.0
9521,369000.0,285,0.0
9319,415000.0,118,0.0
233,113000.0,45,0.0
9934,165000.0,52,0.0
7902,102000.0,34,0.0
48,89000.0,43,0.0
6480,295000.0,110,6500.0
3547,320000.0,90,0.0
5,255000.0,104,0.0
450,1060000.0,278,0.0
10010,80000.0,47,0.0
7401,240000.0,119,5873.0
8332,225000.0,77,5100.0
6100,102000.0,35,0.0
3253,340000.0,139,0.0
3425,777000.0,433,0.0
3967,300000.0,139,0.0
7796,118000.0,38,1200.0
6087,350000.0,170,0.0
10031,75000.0,29,1405.0
